Manganese concentration / (weight%),Chromium concentration / (weight%),Current / A,Vanadium concentration / (weight%),Voltage / V,weld_MMA,Post weld heat treatment temperature / °C,Niobium concentration / parts per million by weight,AC or DC,weld_SA,Nitrogen concentration / parts per million by weight,Electrode positive or negative,Phosphorus concentration / (weight%),Carbon concentration / (weight%),Sulphur concentration / (weight%),Yield strength / MPa,Heat input / kJmm-1,Molybdenum concentration / (weight%)
1.49,3.2216380031336023,170.0,0.07696594323646029,21.0,1,0.0,18.16518234305653,1,0,38.347862384730306,1.0,0.006,0.076,0.006,568.0,1.0,-0.29934334724564476
1.49,4.976897313348282,170.0,0.07886142411400017,21.0,1,580.0,631.1034587879499,1,0,244.9795842871712,1.0,0.006,0.076,0.006,583.0,1.0,0.9780586986369526
1.49,-2.7534299277176304,170.0,-0.06230615278011745,21.0,1,250.0,-255.40794811430288,1,0,72.0,1.0,0.013,0.074,0.006,431.0,1.0,-0.2285655914344331
1.49,-2.6684638579016142,170.0,-0.07395381110962836,21.0,1,0.0,218.25914655772414,1,0,72.0,1.0,0.013,0.074,0.006,,1.0,-0.44186900759067393
1.49,-0.15963358525276905,170.0,0.05006058369827392,21.0,1,0.0,246.8560125575936,1,0,72.0,1.0,0.013,0.074,0.006,,1.0,0.0012771199878533722
1.49,2.624259814955974,170.0,-0.03576918544789017,21.0,1,0.0,6.231208788524384,1,0,72.0,1.0,0.013,0.074,0.006,,1.0,-0.5592761790894132
1.43,-0.8249658729341431,170.0,0.07092484994608897,21.0,1,250.0,-1.902608490435636,1,0,54.0,1.0,0.013,0.081,0.006,444.0,1.0,0.28749285654964496
1.43,-0.06768442347412257,170.0,0.07582449295467088,21.0,1,0.0,-163.97182674381716,1,0,54.0,1.0,0.013,0.081,0.006,,1.0,-0.1481620619820624
1.43,-1.7282372607579535,170.0,-0.11932057407069338,21.0,1,0.0,-82.46959037940148,1,0,54.0,1.0,0.013,0.081,0.006,,1.0,-0.1732730720773182
1.43,-3.1973165024035604,170.0,-0.01573749179351662,21.0,1,0.0,-159.57108967509066,1,0,54.0,1.0,0.013,0.081,0.006,,1.0,-0.3272414384291452
1.36,-2.2825029794676563,170.0,-0.05885263061196623,21.0,1,250.0,-15.445218166796437,1,0,57.0,1.0,0.011,0.076,0.005,437.0,1.0,0.4100824012574699
1.36,-0.6161622029371862,170.0,-0.10036782127953656,21.0,1,0.0,402.49092084262827,1,0,57.0,1.0,0.011,0.076,0.005,,1.0,-0.3444658836865021
1.36,1.8762212377783178,170.0,0.11307313631648046,21.0,1,0.0,36.09406791127185,1,0,57.0,1.0,0.011,0.076,0.005,,1.0,0.13743520078540936
1.36,-0.18332878543281472,170.0,-0.014505194185607334,21.0,1,0.0,6.91402708308506,1,0,57.0,1.0,0.011,0.076,0.005,,1.0,0.3149285613993187
1.37,-1.4832966589115313,170.0,0.014536441961561019,21.0,1,250.0,22.4203707639262,1,0,47.0,1.0,0.011,0.079,0.005,437.0,1.0,0.09826415058389841
1.37,-0.32082859385787543,170.0,-0.01971358553673353,21.0,1,0.0,-90.45318212346538,1,0,47.0,1.0,0.011,0.079,0.005,,1.0,-0.44415486521402303
1.37,1.5509713992656895,170.0,-0.04038200819885598,21.0,1,0.0,279.9001029365712,1,0,47.0,1.0,0.011,0.079,0.005,,1.0,-0.40798059701299716
1.37,3.706567820650399,170.0,0.12330524036028767,21.0,1,0.0,263.78531473207437,1,0,47.0,1.0,0.011,0.079,0.005,,1.0,0.5225142210471933
1.4,1.0647801251965991,170.0,-0.03968891323215269,21.0,1,250.0,417.46791060332896,1,0,44.0,1.0,0.011,0.078,0.004,469.0,1.0,0.4346996427719941
1.4,-2.3416613675328346,170.0,-0.08075595042553851,21.0,1,0.0,13.884624238389868,1,0,44.0,1.0,0.011,0.078,0.004,,1.0,0.15140862833016877
1.4,0.9394573643750836,170.0,0.11747206658411087,21.0,1,0.0,83.52944039327689,1,0,44.0,1.0,0.011,0.078,0.004,,1.0,0.18261415373809203
1.4,-1.0740805595574916,170.0,0.04509719734431257,21.0,1,0.0,129.0955578016912,1,0,44.0,1.0,0.011,0.078,0.004,,1.0,-0.34572172221934466
1.42,1.383969629166941,170.0,0.020854363953573592,21.0,1,250.0,322.3509384435455,1,0,46.0,1.0,0.006,0.081,0.004,466.0,1.0,-0.16891481662443592
1.42,1.7751665038026028,170.0,-0.0015727854010989181,21.0,1,0.0,341.39415168018195,1,0,46.0,1.0,0.006,0.081,0.004,,1.0,0.2472029256800113
1.42,1.059733777652753,170.0,0.009856272073270613,21.0,1,0.0,43.06880772813564,1,0,46.0,1.0,0.006,0.081,0.004,,1.0,-0.10880063576605138
